Time,Action
16:44:56,https://arstconnazureo365.sharepoint.com
16:44:56,Testing SharePoint contact speed
16:44:57,Contact 1 1813 ms
16:44:59,Contact 2 1259 ms
16:45:00,Contact 3 1152 ms
16:45:01,Contact 4 1238 ms
16:45:01,Average contact speed of 1365.5 ms
16:45:01,Authenticating
16:45:01,Downloading Sample Files
16:45:01,Downloading 100kb files
16:45:04,Completed 100kb files
16:45:04,Downloading 5000kb files
16:45:12,Completed 5000kb files
16:45:12,Downloading 2000kb files
16:45:14,Completed 2000kb files
16:45:14,Downloading 200MB files
16:45:40,Completed 200MB files
16:45:41,Document library created
16:45:42,Start of upload
16:46:16,Large_Zip_4.zip.BaseName uploaded
16:46:17,Word_Document_100_1.doc.BaseName uploaded
16:46:18,Word_Document_100_2.doc.BaseName uploaded
16:46:19,Word_Document_100_3.doc.BaseName uploaded
16:46:20,Word_Document_100_4.doc.BaseName uploaded
16:46:22,Word_Document_2000_1.doc.BaseName uploaded
16:46:25,Word_Document_2000_2.doc.BaseName uploaded
16:46:28,Word_Document_2000_3.doc.BaseName uploaded
16:46:31,Word_Document_2000_4.doc.BaseName uploaded
16:46:35,Word_Document_5000_1.doc.BaseName uploaded
16:46:42,Word_Document_5000_2.doc.BaseName uploaded
16:46:46,Word_Document_5000_3.doc.BaseName uploaded
16:46:50,Word_Document_5000_4.doc.BaseName uploaded
16:46:51,End of upload
16:46:51,Testing SharePoint contact speed to new library
16:46:54,Contact 1 2310 ms
16:46:55,Contact 2 1272 ms
16:46:56,Contact 3 1199 ms
16:46:57,Contact 4 1186 ms
16:46:57,Average contact speed of 2857.25 ms
16:46:57,local files deleted
16:46:57,Starting Download from SPO
16:46:58,Microsoft.SharePoint.Client.File.Name has been downloaded
16:46:58,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
16:46:59,Microsoft.SharePoint.Client.File.Name has been downloaded
16:46:59,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
16:46:59,Microsoft.SharePoint.Client.File.Name has been downloaded
16:46:59,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
16:47:00,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:00,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
16:47:03,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:03,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
16:47:03,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:03,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
16:47:04,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:04,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
16:47:06,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:06,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
16:47:06,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:06,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
16:47:06,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:06,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
16:47:30,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:30,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
16:47:31,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:31,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
16:47:32,Microsoft.SharePoint.Client.File.Name has been downloaded
16:47:32,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
16:47:34,Download completed
16:47:35,local files deleted
16:47:36,Document library deleted
