Time,Action
15:55:36,https://arstconnazureo365.sharepoint.com
15:55:36,Testing SharePoint contact speed
15:55:37,Contact 1 1682 ms
15:55:39,Contact 2 1118 ms
15:55:39,Contact 3 889 ms
15:55:40,Contact 4 900 ms
15:55:40,Average contact speed of 1147.25 ms
15:55:40,Authenticating
15:55:40,Downloading Sample Files
15:55:40,Downloading 100kb files
15:55:45,Completed 100kb files
15:55:45,Downloading 5000kb files
15:56:11,Completed 5000kb files
15:56:11,Downloading 2000kb files
15:56:26,Completed 2000kb files
15:56:26,Downloading 200MB files
16:00:02,Completed 200MB files
16:00:03,Document library created
16:00:03,Start of upload
16:00:03,Large_Zip_4.zip.BaseName uploaded
16:00:04,Word_Document_100_1.doc.BaseName uploaded
16:00:04,Word_Document_100_2.doc.BaseName uploaded
16:00:05,Word_Document_100_3.doc.BaseName uploaded
16:00:05,Word_Document_100_4.doc.BaseName uploaded
16:00:06,Word_Document_2000_1.doc.BaseName uploaded
16:00:07,Word_Document_2000_2.doc.BaseName uploaded
16:00:08,Word_Document_2000_3.doc.BaseName uploaded
16:00:08,Word_Document_2000_4.doc.BaseName uploaded
16:00:09,Word_Document_5000_1.doc.BaseName uploaded
16:00:09,Word_Document_5000_2.doc.BaseName uploaded
16:00:10,Word_Document_5000_3.doc.BaseName uploaded
16:00:10,Word_Document_5000_4.doc.BaseName uploaded
16:00:11,End of upload
16:00:11,Testing SharePoint contact speed to new library
16:00:12,Contact 1 1878 ms
16:00:14,Contact 2 1243 ms
16:00:15,Contact 3 1255 ms
16:00:16,Contact 4 1150 ms
16:00:16,Average contact speed of 2528.75 ms
16:00:16,local files deleted
16:00:16,Starting Download from SPO
16:00:17,Download completed
16:00:17,local files deleted
16:00:17,Document library deleted
