Time,Action
14:38:00,https://arstconnazureo365.sharepoint.com
14:38:00,Testing SharePoint contact speed
14:38:02,Contact 1 1905 ms
14:38:04,Contact 2 1400 ms
14:38:05,Contact 3 1250 ms
14:38:06,Contact 4 1249 ms
14:38:06,Average contact speed of 1451 ms
14:38:06,Authenticating
14:38:06,Downloading Sample Files
14:38:06,Downloading 100kb files
14:38:09,Completed 100kb files
14:38:09,Downloading 5000kb files
14:38:25,Completed 5000kb files
14:38:25,Downloading 2000kb files
14:38:34,Completed 2000kb files
14:38:34,Downloading 200MB files
14:39:12,Completed 200MB files
14:39:14,Document library created
14:39:15,Start of upload
14:39:56,Large_Zip_4.zip.BaseName uploaded
14:39:57,Word_Document_100_1.doc.BaseName uploaded
14:39:59,Word_Document_100_2.doc.BaseName uploaded
14:40:00,Word_Document_100_3.doc.BaseName uploaded
14:40:01,Word_Document_100_4.doc.BaseName uploaded
14:40:03,Word_Document_2000_1.doc.BaseName uploaded
14:40:05,Word_Document_2000_2.doc.BaseName uploaded
14:40:08,Word_Document_2000_3.doc.BaseName uploaded
14:40:10,Word_Document_2000_4.doc.BaseName uploaded
14:40:15,Word_Document_5000_1.doc.BaseName uploaded
14:40:20,Word_Document_5000_2.doc.BaseName uploaded
14:40:26,Word_Document_5000_3.doc.BaseName uploaded
14:40:30,Word_Document_5000_4.doc.BaseName uploaded
14:40:31,End of upload
14:40:31,Testing SharePoint contact speed to new library
14:40:34,Contact 1 2415 ms
14:40:35,Contact 2 1347 ms
14:40:37,Contact 3 1245 ms
14:40:38,Contact 4 1189 ms
14:40:38,Average contact speed of 3000 ms
14:40:38,local files deleted
14:40:38,Starting Download from SPO
14:40:38,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:38,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
14:40:42,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:42,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
14:40:43,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:43,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
14:40:44,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:44,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
14:40:46,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:46,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
14:40:48,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:48,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
14:40:49,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:49,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
14:40:49,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:49,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
14:40:49,Microsoft.SharePoint.Client.File.Name has been downloaded
14:40:49,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
14:41:14,Microsoft.SharePoint.Client.File.Name has been downloaded
14:41:14,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
14:41:15,Microsoft.SharePoint.Client.File.Name has been downloaded
14:41:15,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
14:41:16,Microsoft.SharePoint.Client.File.Name has been downloaded
14:41:16,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
14:41:17,Microsoft.SharePoint.Client.File.Name has been downloaded
14:41:17,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
14:41:17,Download completed
14:41:17,local files deleted
14:41:18,Document library deleted
