Time,Action
16:54:45,https://arstconnazureo365-my.sharepoint.com
16:54:45,Testing OneDrive contact speed
16:54:51,Contact 1 5717 ms
16:54:54,Contact 2 2720 ms
16:54:56,Contact 3 2261 ms
16:54:58,Contact 4 1405 ms
16:54:58,Average contact speed of 3025.75 ms
16:54:58,Authenticating
16:54:58,Downloading Sample Files
16:54:58,Downloading 100kb files
16:55:03,Completed 100kb files
16:55:03,Downloading 5000kb files
16:55:29,Completed 5000kb files
16:55:29,Downloading 2000kb files
16:55:48,Completed 2000kb files
16:55:48,Downloading 200MB files
17:00:01,Completed 200MB files
17:00:03,Document library created
17:00:04,Start of upload
17:00:53,Large_Zip_4.zip.BaseName uploaded
17:00:55,Word_Document_100_1.doc.BaseName uploaded
17:00:59,Word_Document_100_2.doc.BaseName uploaded
17:01:05,Word_Document_100_3.doc.BaseName uploaded
17:01:08,Word_Document_100_4.doc.BaseName uploaded
17:01:21,Word_Document_2000_1.doc.BaseName uploaded
17:01:33,Word_Document_2000_2.doc.BaseName uploaded
17:01:45,Word_Document_2000_3.doc.BaseName uploaded
17:01:56,Word_Document_2000_4.doc.BaseName uploaded
17:02:23,Word_Document_5000_1.doc.BaseName uploaded
