Time,Action
13:54:43,https://arstconnazureo365.sharepoint.com
13:54:43,Testing SharePoint contact speed
13:54:44,Contact 1 1282 ms
13:54:45,Contact 2 929 ms
13:54:46,Contact 3 875 ms
13:54:47,Contact 4 894 ms
13:54:47,Average contact speed of 995 ms
13:54:47,Authenticating
13:54:47,Downloading Sample Files
13:54:47,Downloading 100kb files
13:54:51,Completed 100kb files
13:54:51,Downloading 5000kb files
13:55:22,Completed 5000kb files
13:55:22,Downloading 2000kb files
13:55:39,Completed 2000kb files
13:55:39,Downloading 200MB files
13:59:30,Completed 200MB files
13:59:32,Document library created
13:59:32,Start of upload
14:14:30,Large_Zip_4.zip.BaseName uploaded
14:14:32,Word_Document_100_1.doc.BaseName uploaded
14:14:33,Word_Document_100_2.doc.BaseName uploaded
14:14:35,Word_Document_100_3.doc.BaseName uploaded
14:14:36,Word_Document_100_4.doc.BaseName uploaded
14:14:46,Word_Document_2000_1.doc.BaseName uploaded
14:14:57,Word_Document_2000_2.doc.BaseName uploaded
14:15:08,Word_Document_2000_3.doc.BaseName uploaded
14:15:19,Word_Document_2000_4.doc.BaseName uploaded
14:15:44,Word_Document_5000_1.doc.BaseName uploaded
14:16:09,Word_Document_5000_2.doc.BaseName uploaded
14:16:34,Word_Document_5000_3.doc.BaseName uploaded
14:17:00,Word_Document_5000_4.doc.BaseName uploaded
14:17:01,End of upload
14:17:01,Testing SharePoint contact speed to new library
14:17:03,Contact 1 1849 ms
14:17:03,Contact 2 857 ms
14:17:04,Contact 3 850 ms
14:17:05,Contact 4 871 ms
15:26:19,Average contact speed of 2101.75 ms
15:26:19,local files deleted
15:26:19,Starting Download from SPO
15:26:20,Microsoft.SharePoint.Client.File.Name has been downloaded
15:26:20,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
15:26:21,Microsoft.SharePoint.Client.File.Name has been downloaded
15:26:21,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
15:26:24,Microsoft.SharePoint.Client.File.Name has been downloaded
15:26:24,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
15:26:25,Microsoft.SharePoint.Client.File.Name has been downloaded
15:26:25,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
15:30:52,Microsoft.SharePoint.Client.File.Name has been downloaded
15:30:52,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
15:31:01,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:01,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
15:31:02,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:02,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
15:31:10,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:10,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
15:31:18,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:18,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
15:31:19,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:19,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
15:31:22,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:22,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
15:31:25,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:25,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
15:31:32,Microsoft.SharePoint.Client.File.Name has been downloaded
15:31:32,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
15:31:35,Download completed
15:31:35,local files deleted
15:31:38,Document library deleted
