Time,Action
09:27:01,https://arstconnazureo365.sharepoint.com
09:27:01,Testing SharePoint contact speed
09:27:04,Contact 1 2951 ms
09:27:05,Contact 2 1472 ms
09:27:07,Contact 3 1423 ms
09:27:08,Contact 4 1304 ms
09:27:08,Average contact speed of 1787.5 ms
09:27:08,Authenticating
09:27:08,Downloading Sample Files
09:27:08,Downloading 100kb files
09:27:13,Completed 100kb files
09:27:13,Downloading 5000kb files
09:27:25,Completed 5000kb files
09:27:25,Downloading 2000kb files
09:27:30,Completed 2000kb files
09:27:30,Downloading 200MB files
09:29:55,Completed 200MB files
09:29:58,Document library created
09:29:59,Start of upload
09:30:42,Large_Zip_4.zip.BaseName uploaded
09:30:44,Word_Document_100_1.doc.BaseName uploaded
09:30:46,Word_Document_100_2.doc.BaseName uploaded
09:30:47,Word_Document_100_3.doc.BaseName uploaded
09:30:48,Word_Document_100_4.doc.BaseName uploaded
09:30:53,Word_Document_2000_1.doc.BaseName uploaded
09:30:57,Word_Document_2000_2.doc.BaseName uploaded
09:31:02,Word_Document_2000_3.doc.BaseName uploaded
09:31:07,Word_Document_2000_4.doc.BaseName uploaded
09:31:17,Word_Document_5000_1.doc.BaseName uploaded
09:31:27,Word_Document_5000_2.doc.BaseName uploaded
09:31:38,Word_Document_5000_3.doc.BaseName uploaded
09:31:47,Word_Document_5000_4.doc.BaseName uploaded
09:31:48,End of upload
09:31:48,Testing SharePoint contact speed to new library
09:31:51,Contact 1 2760 ms
09:31:52,Contact 2 1379 ms
09:31:53,Contact 3 1273 ms
09:31:55,Contact 4 1251 ms
09:31:55,Average contact speed of 3453.25 ms
09:31:55,local files deleted
09:31:55,Starting Download from SPO
09:31:55,Microsoft.SharePoint.Client.File.Name has been downloaded
09:31:55,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
09:31:56,Microsoft.SharePoint.Client.File.Name has been downloaded
09:31:56,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
09:31:57,Microsoft.SharePoint.Client.File.Name has been downloaded
09:31:57,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
09:31:59,Microsoft.SharePoint.Client.File.Name has been downloaded
09:31:59,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
09:32:27,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:27,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
09:32:28,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:28,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
09:32:29,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:29,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
09:32:30,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:30,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
09:32:30,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:30,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
09:32:31,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:31,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
09:32:32,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:32,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
09:32:32,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:32,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
09:32:34,Microsoft.SharePoint.Client.File.Name has been downloaded
09:32:34,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
09:32:35,Download completed
09:32:35,local files deleted
09:32:38,Document library deleted
