Time,Action
10:47:12,https://arstconnazureo365.sharepoint.com
10:47:12,Testing SharePoint contact speed
10:47:14,Contact 1 1655 ms
10:47:15,Contact 2 904 ms
10:47:16,Contact 3 972 ms
10:47:17,Contact 4 901 ms
10:47:17,Average contact speed of 1108 ms
10:47:17,Authenticating
10:47:17,Downloading Sample Files
10:47:17,Downloading 100kb files
10:47:22,Completed 100kb files
10:47:22,Downloading 5000kb files
10:47:52,Completed 5000kb files
10:47:52,Downloading 2000kb files
10:48:23,Completed 2000kb files
10:48:23,Downloading 200MB files
10:52:14,Completed 200MB files
10:52:19,Document library created
10:52:20,Start of upload
11:09:12,Large_Zip_4.zip.BaseName uploaded
11:09:13,Word_Document_100_1.doc.BaseName uploaded
11:09:15,Word_Document_100_2.doc.BaseName uploaded
11:09:17,Word_Document_100_3.doc.BaseName uploaded
11:09:18,Word_Document_100_4.doc.BaseName uploaded
11:09:31,Word_Document_2000_1.doc.BaseName uploaded
11:09:44,Word_Document_2000_2.doc.BaseName uploaded
11:09:57,Word_Document_2000_3.doc.BaseName uploaded
11:10:10,Word_Document_2000_4.doc.BaseName uploaded
11:10:39,Word_Document_5000_1.doc.BaseName uploaded
11:11:09,Word_Document_5000_2.doc.BaseName uploaded
11:11:42,Word_Document_5000_3.doc.BaseName uploaded
11:12:27,Word_Document_5000_4.doc.BaseName uploaded
11:12:28,End of upload
11:12:28,Testing SharePoint contact speed to new library
11:12:30,Contact 1 1871 ms
11:12:31,Contact 2 916 ms
11:12:32,Contact 3 887 ms
11:12:33,Contact 4 914 ms
11:41:31,Average contact speed of 2255 ms
11:41:31,local files deleted
11:41:31,Starting Download from SPO
11:41:32,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:32,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_2000_1.doc has been downloaded
11:41:35,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:35,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_5000_4.doc has been downloaded
11:41:41,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:41,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_5000_1.doc has been downloaded
11:41:47,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:47,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_5000_2.doc has been downloaded
11:41:52,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:52,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_100_2.doc has been downloaded
11:41:53,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:53,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_2000_3.doc has been downloaded
11:41:55,Microsoft.SharePoint.Client.File.Name has been downloaded
11:41:55,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_5000_3.doc has been downloaded
11:42:01,Microsoft.SharePoint.Client.File.Name has been downloaded
11:42:01,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_2000_4.doc has been downloaded
11:42:03,Microsoft.SharePoint.Client.File.Name has been downloaded
11:42:03,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_100_4.doc has been downloaded
11:42:04,Microsoft.SharePoint.Client.File.Name has been downloaded
11:42:04,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_2000_2.doc has been downloaded
11:42:06,Microsoft.SharePoint.Client.File.Name has been downloaded
11:42:06,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_100_3.doc has been downloaded
11:42:07,Microsoft.SharePoint.Client.File.Name has been downloaded
11:42:07,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Large_Zip_4.zip has been downloaded
11:45:49,Microsoft.SharePoint.Client.File.Name has been downloaded
11:45:49,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool\Performance_Testing_Generic/Sample_Files/Word_Document_100_1.doc has been downloaded
11:45:50,Download completed
11:45:50,local files deleted
11:45:54,Document library deleted
