Time,Action
11:55:37,https://arstconnazureo365.sharepoint.com
11:55:37,Testing SharePoint contact speed
11:55:39,Contact 1 1968 ms
11:55:40,Contact 2 1564 ms
11:55:42,Contact 3 1236 ms
11:55:43,Contact 4 1157 ms
11:55:43,Average contact speed of 1481.25 ms
11:55:43,Authenticating
11:55:43,Downloading Sample Files
11:55:43,Downloading 100kb files
11:55:46,Completed 100kb files
11:55:46,Downloading 5000kb files
11:55:59,Completed 5000kb files
11:55:59,Downloading 2000kb files
11:56:07,Completed 2000kb files
11:56:07,Downloading 200MB files
11:58:24,Completed 200MB files
11:58:26,Document library created
11:58:26,Start of upload
11:59:28,Large_Zip_4.zip.BaseName uploaded
11:59:29,Word_Document_100_1.doc.BaseName uploaded
11:59:31,Word_Document_100_2.doc.BaseName uploaded
11:59:32,Word_Document_100_3.doc.BaseName uploaded
11:59:33,Word_Document_100_4.doc.BaseName uploaded
11:59:35,Word_Document_2000_1.doc.BaseName uploaded
11:59:38,Word_Document_2000_2.doc.BaseName uploaded
11:59:41,Word_Document_2000_3.doc.BaseName uploaded
11:59:44,Word_Document_2000_4.doc.BaseName uploaded
11:59:49,Word_Document_5000_1.doc.BaseName uploaded
11:59:56,Word_Document_5000_2.doc.BaseName uploaded
12:00:01,Word_Document_5000_3.doc.BaseName uploaded
12:00:07,Word_Document_5000_4.doc.BaseName uploaded
12:00:08,End of upload
12:00:08,Testing SharePoint contact speed to new library
12:00:10,Contact 1 2409 ms
12:00:12,Contact 2 1442 ms
12:00:13,Contact 3 1515 ms
12:00:15,Contact 4 1516 ms
12:00:15,Average contact speed of 3201.75 ms
12:00:15,local files deleted
12:00:15,Starting Download from SPO
12:00:16,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:16,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
12:00:17,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:17,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
12:00:38,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:38,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
12:00:39,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:39,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
12:00:40,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:40,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
12:00:42,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:42,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
12:00:42,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:42,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
12:00:43,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:43,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
12:00:44,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:44,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
12:00:45,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:45,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
12:00:45,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:45,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
12:00:47,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:47,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
12:00:47,Microsoft.SharePoint.Client.File.Name has been downloaded
12:00:47,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
12:00:48,Download completed
12:00:48,local files deleted
12:00:50,Document library deleted
