Time,Action
15:18:26,https://roche.sharepoint.com/sites/DCDigitalWorkplace/Vmigration
15:18:26,Testing SharePoint contact speed
15:18:28,Contact 1 1692 ms
15:18:29,Contact 2 1226 ms
15:18:30,Contact 3 1049 ms
15:18:31,Contact 4 1017 ms
15:18:31,Average contact speed of 1246 ms
15:18:31,Authenticating
15:18:31,Downloading Sample Files
15:18:31,Downloading 100kb files
15:18:32,Completed 100kb files
15:18:32,Downloading 5000kb files
15:18:42,Completed 5000kb files
15:18:42,Downloading 2000kb files
15:18:47,Completed 2000kb files
15:18:47,Downloading 200MB files
15:20:27,Completed 200MB files
15:20:28,Document library created
15:20:29,Start of upload
15:21:20, 
15:21:21, 
15:21:22, 
15:21:23, 
15:21:24, 
15:21:27, 
15:21:30, 
15:21:34, 
15:21:37, 
15:21:42, 
15:21:48, 
15:21:54, 
15:22:00, 
15:22:01,End of upload
15:22:01,Testing SharePoint contact speed to new library
15:22:03,Contact 1 1804 ms
15:22:04,Contact 2 1181 ms
15:22:05,Contact 3 1245 ms
15:22:07,Contact 4 1203 ms
15:22:07,Average contact speed of 2604.25 ms
15:22:07,local files deleted
15:22:07,Starting Download from SPO
15:22:07,Microsoft.SharePoint.Client.File.Name has been downloaded
15:22:08,Microsoft.SharePoint.Client.File.Name has been downloaded
15:22:10,Microsoft.SharePoint.Client.File.Name has been downloaded
15:22:11,Microsoft.SharePoint.Client.File.Name has been downloaded
15:22:14,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:39,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:40,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:40,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:42,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:43,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:46,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:46,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:48,Microsoft.SharePoint.Client.File.Name has been downloaded
15:23:50,Download completed
15:23:50,local files deleted
15:23:51,Document library deleted
